time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
0,6.25,buoyancy_mean,0.055616334080696106,Center,m s^-2,instantaneous_initial,0,0
0,18.75,buoyancy_mean,0.055488776415586472,Center,m s^-2,instantaneous_initial,0,0
0,31.25,buoyancy_mean,0.055546090006828308,Center,m s^-2,instantaneous_initial,0,0
0,43.75,buoyancy_mean,0.055527415126562119,Center,m s^-2,instantaneous_initial,0,0
0,56.25,buoyancy_mean,0.0555286705493927,Center,m s^-2,instantaneous_initial,0,0
0,68.75,buoyancy_mean,0.055529255419969559,Center,m s^-2,instantaneous_initial,0,0
0,81.25,buoyancy_mean,0.0555286705493927,Center,m s^-2,instantaneous_initial,0,0
0,93.75,buoyancy_mean,0.05552925169467926,Center,m s^-2,instantaneous_initial,0,0
0,106.25,buoyancy_mean,0.05782897025346756,Center,m s^-2,instantaneous_initial,0,0
0,118.75,buoyancy_mean,0.062425464391708374,Center,m s^-2,instantaneous_initial,0,0
0,131.25,buoyancy_mean,0.067017868161201477,Center,m s^-2,instantaneous_initial,0,0
0,143.75,buoyancy_mean,0.071606174111366272,Center,m s^-2,instantaneous_initial,0,0
0,156.25,buoyancy_mean,0.076189815998077393,Center,m s^-2,instantaneous_initial,0,0
0,168.75,buoyancy_mean,0.080768764019012451,Center,m s^-2,instantaneous_initial,0,0
0,181.25,buoyancy_mean,0.085345380008220673,Center,m s^-2,instantaneous_initial,0,0
0,193.75,buoyancy_mean,0.089916147291660309,Center,m s^-2,instantaneous_initial,0,0
0,206.25,buoyancy_mean,0.094481654465198517,Center,m s^-2,instantaneous_initial,0,0
0,218.75,buoyancy_mean,0.099043652415275574,Center,m s^-2,instantaneous_initial,0,0
0,231.25,buoyancy_mean,0.10360155999660492,Center,m s^-2,instantaneous_initial,0,0
0,243.75,buoyancy_mean,0.10815595835447311,Center,m s^-2,instantaneous_initial,0,0
0,256.25,buoyancy_mean,0.11270567029714584,Center,m s^-2,instantaneous_initial,0,0
0,268.75,buoyancy_mean,0.1172507181763649,Center,m s^-2,instantaneous_initial,0,0
0,281.25,buoyancy_mean,0.12179166823625565,Center,m s^-2,instantaneous_initial,0,0
0,293.75,buoyancy_mean,0.12632851302623749,Center,m s^-2,instantaneous_initial,0,0
0,306.25,buoyancy_mean,0.13086068630218506,Center,m s^-2,instantaneous_initial,0,0
0,318.75,buoyancy_mean,0.13538995385169983,Center,m s^-2,instantaneous_initial,0,0
0,331.25,buoyancy_mean,0.13991393148899078,Center,m s^-2,instantaneous_initial,0,0
0,343.75,buoyancy_mean,0.14443324506282806,Center,m s^-2,instantaneous_initial,0,0
0,356.25,buoyancy_mean,0.14894787967205048,Center,m s^-2,instantaneous_initial,0,0
0,368.75,buoyancy_mean,0.15346017479896545,Center,m s^-2,instantaneous_initial,0,0
0,381.25,buoyancy_mean,0.15796662867069244,Center,m s^-2,instantaneous_initial,0,0
0,393.75,buoyancy_mean,0.162470743060112,Center,m s^-2,instantaneous_initial,0,0
0,0,density_at_w_faces,1.3223112821578979,Face,kg m^-3,instantaneous_initial,0,0
0,12.5,density_at_w_faces,1.3207802772521973,Face,kg m^-3,instantaneous_initial,0,0
0,25,density_at_w_faces,1.3192499876022339,Face,kg m^-3,instantaneous_initial,0,0
0,37.5,density_at_w_faces,1.3177206516265869,Face,kg m^-3,instantaneous_initial,0,0
0,50,density_at_w_faces,1.316192626953125,Face,kg m^-3,instantaneous_initial,0,0
0,62.5,density_at_w_faces,1.3146657943725586,Face,kg m^-3,instantaneous_initial,0,0
0,75,density_at_w_faces,1.313139796257019,Face,kg m^-3,instantaneous_initial,0,0
0,87.5,density_at_w_faces,1.3116148710250854,Face,kg m^-3,instantaneous_initial,0,0
0,100,density_at_w_faces,1.3100910186767578,Face,kg m^-3,instantaneous_initial,0,0
0,112.5,density_at_w_faces,1.3085682392120361,Face,kg m^-3,instantaneous_initial,0,0
0,125,density_at_w_faces,1.30704665184021,Face,kg m^-3,instantaneous_initial,0,0
